Trial,TheoreticalSamples,ExpectedFrames,ReceivedSamples,SampleMargin,WarmupOverruns,TotalOverruns,BadLenCount,FirstOverrunFrame,PassFlag,ElapsedTime_s
1,12288000,512,12288000,0,0,0,0,NaN,1,0.2594867
2,12288000,512,12288000,0,0,0,0,NaN,1,0.2665186
3,12288000,512,12288000,0,0,0,0,NaN,1,0.2508111
4,12288000,512,12288000,0,0,0,0,NaN,1,0.2434135
5,12288000,512,12288000,0,0,0,0,NaN,1,0.2617072
6,12288000,512,12288000,0,0,0,0,NaN,1,0.2614043
7,12288000,512,12288000,0,0,0,0,NaN,1,0.2576388
8,12288000,512,12288000,0,0,0,0,NaN,1,0.2422988
9,12288000,512,12288000,0,0,0,0,NaN,1,0.2513926
10,12288000,512,12288000,0,0,0,0,NaN,1,0.2434419
11,12288000,512,12288000,0,0,0,0,NaN,1,0.3289623
12,12288000,512,12288000,0,0,0,0,NaN,1,0.251338
13,12288000,512,12288000,0,0,0,0,NaN,1,0.2629574
14,12288000,512,12288000,0,0,0,0,NaN,1,0.2488326
15,12288000,512,12288000,0,0,0,0,NaN,1,0.2491794
16,12288000,512,12288000,0,0,0,0,NaN,1,0.2925293
17,12288000,512,12282698,-5302,0,1,1,346,0,0.3622819
18,12288000,512,12288000,0,0,0,0,NaN,1,0.266224
19,12288000,512,12288000,0,0,0,0,NaN,1,0.2675111
20,12288000,512,12288000,0,0,0,0,NaN,1,0.255361
